DATE,NIKKEI225,DJIA,DEXJPUS
2008-01-01,,,
2008-01-02,,,109.7
2008-01-03,,,109.58
2008-01-04,14691.41,,108.38
2008-01-07,14500.55,,109.1
2008-01-08,14528.67,,109.29
2008-01-09,14599.16,,109.4
2008-01-10,14388.11,,109.38
2008-01-11,14110.79,,109.11
2008-01-14,,,108.18
2008-01-15,13972.63,,107.07
2008-01-16,13504.51,,107.27
2008-01-17,13783.45,,107.01
2008-01-18,13861.29,,106.82
2008-01-21,13325.94,,
2008-01-22,12573.05,,106.76
2008-01-23,12829.06,,105.42
2008-01-24,13092.78,,106.68
2008-01-25,13629.16,,107.31
2008-01-28,13087.91,,106.65
2008-01-29,13478.86,,107.08
2008-01-30,13345.03,12442.83,107.25
2008-01-31,13592.47,12650.36,106.74
2008-02-01,13497.16,12743.19,106.3
2008-02-04,13859.7,12635.16,106.73
2008-02-05,13745.5,12265.13,106.94
2008-02-06,13099.24,12200.1,106.75
2008-02-07,13207.15,12247.0,106.82
2008-02-08,13017.24,12182.13,107.34
2008-02-11,,12240.01,106.64
2008-02-12,13021.96,12373.41,107.42
2008-02-13,13068.3,12552.24,108.15
2008-02-14,13626.45,12376.98,107.97
2008-02-15,13622.56,12348.21,107.67
2008-02-18,13635.4,,
2008-02-19,13757.91,12337.22,107.5
2008-02-20,13310.37,12427.26,107.97
2008-02-21,13688.28,12284.3,107.6
2008-02-22,13500.46,12381.02,106.98
2008-02-25,13914.57,12570.22,107.88
2008-02-26,13824.72,12684.92,107.73
2008-02-27,14031.3,12694.28,106.38
2008-02-28,13925.51,12582.18,105.64
2008-02-29,13603.02,12266.39,104.19
2008-03-03,12992.18,12258.9,103.57
2008-03-04,12992.28,12213.8,102.67
2008-03-05,12972.06,12254.99,103.99
2008-03-06,13215.42,12040.39,103.1
2008-03-07,12782.8,11893.69,102.69
2008-03-10,12532.1,11740.15,101.8
2008-03-11,12658.28,12156.81,102.87
2008-03-12,12861.13,12110.24,102.38
2008-03-13,12433.4,12145.74,100.58
2008-03-14,12241.6,11951.09,100.2
2008-03-17,11787.51,11972.25,96.88
2008-03-18,11964.16,12392.66,98.23
2008-03-19,12260.44,12099.66,99.34
2008-03-20,,12361.32,98.79
2008-03-21,12482.57,,99.4
2008-03-24,12480.09,12548.64,100.77
2008-03-25,12745.22,12532.6,100.07
2008-03-26,12706.63,12422.86,99.12
2008-03-27,12604.58,12302.46,99.87
2008-03-28,12820.47,12216.4,99.71
2008-03-31,12525.54,12262.89,99.85
2008-04-01,12656.42,12654.36,101.77
2008-04-02,13189.36,12605.83,102.77
2008-04-03,13389.9,12626.03,102.21
2008-04-04,13293.22,12609.42,101.75
2008-04-07,13450.23,12612.43,102.62
2008-04-08,13250.43,12576.44,102.55
2008-04-09,13111.89,12527.26,101.83
2008-04-10,12945.3,12581.98,101.71
2008-04-11,13323.73,12325.42,101.09
2008-04-14,12917.51,12302.06,100.87
2008-04-15,12990.58,12362.47,101.33
2008-04-16,13146.13,12619.27,101.4
2008-04-17,13398.3,12620.49,102.22
2008-04-18,13476.45,12849.36,104.56
2008-04-21,13696.55,12825.02,103.38
2008-04-22,13547.82,12720.23,102.7
2008-04-23,13579.16,12763.22,103.55
2008-04-24,13540.87,12848.95,104.2
2008-04-25,13863.47,12891.86,104.17
2008-04-28,13894.37,12871.75,104.3
2008-04-29,,12831.94,103.4
2008-04-30,13849.99,12820.13,104.53
2008-05-01,13766.86,13010.0,104.04
2008-05-02,14049.26,13058.2,105.33
2008-05-05,,12969.54,105.12
2008-05-06,,13020.83,104.54
2008-05-07,14102.48,12814.35,105.28
2008-05-08,13943.26,12866.78,103.87
2008-05-09,13655.34,12745.88,103.01
2008-05-12,13743.36,12876.31,103.83
2008-05-13,13953.73,12832.18,104.41
2008-05-14,14118.55,12898.38,105.2
2008-05-15,14251.74,12992.66,104.61
2008-05-16,14219.48,12986.8,103.86
2008-05-19,14269.61,13028.16,104.55
2008-05-20,14160.09,12828.68,103.66
2008-05-21,13926.3,12601.19,103.34
2008-05-22,13978.46,12625.62,104.03
2008-05-23,14012.2,12479.63,103.22
2008-05-26,13690.19,,
2008-05-27,13893.31,12548.35,103.98
2008-05-28,13709.44,12594.03,104.69
2008-05-29,14124.47,12646.22,105.52
2008-05-30,14338.54,12638.32,105.46
2008-06-02,14440.14,12503.82,104.41
2008-06-03,14209.17,12402.85,105.29
2008-06-04,14435.57,12390.48,104.99
2008-06-05,14341.12,12604.45,106.0
2008-06-06,14489.44,12209.81,105.33
2008-06-09,14181.38,12280.32,106.06
2008-06-10,14021.17,12289.76,107.19
2008-06-11,14183.48,12083.77,106.77
2008-06-12,13888.6,12141.58,107.94
2008-06-13,13973.73,12307.35,107.92
2008-06-16,14354.37,12269.08,108.19
2008-06-17,14348.37,12160.3,108.03
2008-06-18,14452.82,12029.06,108.05
2008-06-19,14130.17,12063.09,107.95
2008-06-20,13942.08,11842.69,107.42
2008-06-23,13857.47,11842.36,107.89
2008-06-24,13849.56,11807.43,107.76
2008-06-25,13829.92,11811.83,108.29
2008-06-26,13822.32,11453.42,107.29
2008-06-27,13544.36,11346.51,106.28
2008-06-30,13481.38,11350.01,106.17
2008-07-01,13463.2,11382.26,105.73
2008-07-02,13286.37,11215.51,105.87
2008-07-03,13265.4,11288.54,106.79
2008-07-04,13237.89,,
2008-07-07,13360.04,11231.96,107.55
2008-07-08,13033.1,11384.21,107.35
2008-07-09,13052.13,11147.44,107.12
2008-07-10,13067.21,11229.02,107.03
2008-07-11,13039.69,11100.54,106.14
2008-07-14,13010.16,11055.19,106.18
2008-07-15,12754.56,10962.54,104.78
2008-07-16,12760.8,11239.28,104.64
2008-07-17,12887.95,11446.66,105.82
2008-07-18,12803.7,11496.57,106.75
2008-07-21,,11467.34,106.74
2008-07-22,13184.96,11602.5,107.11
2008-07-23,13312.93,11632.38,107.68
2008-07-24,13603.31,11349.28,107.62
2008-07-25,13334.76,11370.69,107.89
2008-07-28,13353.78,11131.08,107.49
2008-07-29,13159.45,11397.56,108.19
2008-07-30,13367.79,11583.69,108.17
2008-07-31,13376.81,11378.02,108.1
2008-08-01,13094.59,11326.32,107.59
2008-08-04,12933.18,11284.15,108.23
2008-08-05,12914.66,11615.77,108.2
2008-08-06,13254.89,11656.07,109.39
2008-08-07,13124.99,11431.43,109.44
2008-08-08,13168.41,11734.32,110.09
2008-08-11,13430.91,11782.35,110.08
2008-08-12,13303.6,11642.47,109.78
2008-08-13,13023.05,11532.96,108.71
2008-08-14,12956.8,11615.93,109.75
2008-08-15,13019.41,11659.9,110.48
2008-08-18,13165.45,11479.39,110.07
2008-08-19,12865.05,11348.55,109.68
2008-08-20,12851.69,11417.43,109.98
2008-08-21,12752.21,11430.21,108.35
2008-08-22,12666.04,11628.06,109.88
2008-08-25,12878.66,11386.25,109.11
2008-08-26,12778.71,11412.87,109.83
2008-08-27,12752.96,11502.51,109.72
2008-08-28,12768.25,11715.18,109.56
2008-08-29,13072.87,11543.55,108.69
2008-09-01,12834.18,,
2008-09-02,12609.47,11516.92,108.85
2008-09-03,12689.59,11532.88,108.18
2008-09-04,12557.66,11188.23,107.76
2008-09-05,12212.23,11220.96,106.96
2008-09-08,12624.46,11510.74,107.91
2008-09-09,12400.65,11230.73,107.1
2008-09-10,12346.63,11268.92,107.86
2008-09-11,12102.5,11433.71,106.66
2008-09-12,12214.76,11421.99,107.51
2008-09-15,,10917.51,105.67
2008-09-16,11609.72,11059.02,105.11
2008-09-17,11749.79,10609.66,104.71
2008-09-18,11489.3,11019.69,104.85
2008-09-19,11920.86,11388.44,107.18
2008-09-22,12090.59,11015.69,106.35
2008-09-23,,10854.17,105.8
2008-09-24,12115.03,10825.17,106.03
2008-09-25,12006.53,11022.06,106.48
2008-09-26,11893.16,11143.13,106.06
2008-09-29,11743.61,10365.45,105.1
2008-09-30,11259.86,10850.66,105.94
2008-10-01,11368.26,10831.07,106.06
2008-10-02,11154.76,10482.85,105.3
2008-10-03,10938.14,10325.38,105.76
2008-10-06,10473.09,9955.5,101.26
2008-10-07,10155.9,9447.11,102.3
2008-10-08,9203.32,9258.1,99.73
2008-10-09,9157.49,8579.19,100.67
2008-10-10,8276.43,8451.19,99.44
2008-10-13,,9387.61,
2008-10-14,9447.57,9310.99,102.17
2008-10-15,9547.47,8577.91,101.47
2008-10-16,8458.45,8979.26,100.46
2008-10-17,8693.82,8852.22,101.4
2008-10-20,9005.59,9265.43,101.74
2008-10-21,9306.25,9033.66,100.43
2008-10-22,8674.69,8519.21,98.63
2008-10-23,8460.98,8691.25,97.6
2008-10-24,7649.08,8378.95,92.64
2008-10-27,7162.9,8175.77,93.28
2008-10-28,7621.92,9065.12,95.68
2008-10-29,8211.9,8990.96,97.48
2008-10-30,9029.76,9180.69,97.47
2008-10-31,8576.98,9325.01,98.28
2008-11-03,,9319.83,98.95
2008-11-04,9114.6,9625.28,100.48
2008-11-05,9521.24,9139.27,98.95
2008-11-06,8899.14,8695.79,98.04
2008-11-07,8583.0,8943.81,98.15
2008-11-10,9081.43,8870.54,97.96
2008-11-11,8809.3,8693.96,
2008-11-12,8695.51,8282.66,95.54
2008-11-13,8238.64,8835.25,95.95
2008-11-14,8462.39,8497.31,96.66
2008-11-17,8522.58,8273.58,97.03
2008-11-18,8328.41,8424.75,97.38
2008-11-19,8273.22,7997.28,96.75
2008-11-20,7703.04,7552.29,94.98
2008-11-21,7910.79,8046.42,95.42
2008-11-24,,8443.39,96.69
2008-11-25,8323.93,8479.47,95.53
2008-11-26,8213.22,8726.61,95.46
2008-11-27,8373.39,,
2008-11-28,8512.27,8829.04,95.46
